Rank,Name,Symbol,marketcap,price (USD),country,page numbers,Report link,sector,industry
958,Caisse régionale de Crédit Agricole Mutuel d'Ille-et-Vilaine,CIV.PA,796468591,131.828,France,,,,
960,Evli,EVLI.HE,785967157,29.676,Finland,,,,
961,FRoSTA AG,NLM.F,785908742,115.394,Germany,,,,
963,Archicom,ARH.WA,783707274,13.3976,Poland,,,,
965,Südwestdeutsche Salzwerke,SSH.F,764023738,72.7122,Germany,,,,
966,RVRC Holding,RVRC.ST,763944277,7.26446,Sweden,,,,
969,2G Energy AG,2GB.DE,759342612,42.3268,Germany,,,,
975,Better Collective A/S,BETCO-DKK.CO,743744709,12.7175,Denmark,,,,
976,MilDef Group,MILDEF.ST,741170627,15.7378,Sweden,,,,
978,Kaufman &amp; Broad,KOF.PA,733976274,37.4202,France,,,,
979,Musti Group,MUSTI.HE,730286021,21.8728,Finland,,,,
980,Autohellas,OTOEL.AT,727616227,15.1336,Greece,,,,
981,Wiit S.p.A.,WIIT.MI,725545875,29.0258,Italy,,,,
982,Momentum Group AB,MMGR-B.ST,719357379,14.5511,Sweden,,,,
984,Atal S.A.,1AT.WA,711753609,16.4527,Poland,,,,
985,SNP Schneider-Neureither &amp; Partner,SHF.DE,710114973,97.4226,Germany,,,,
986,Wild Bunch,WBAH.F,707693900,29.5578,Germany,,,,
987,Pharmanutra,PHN.MI,705307558,73.5398,Italy,,,,
988,Oeneo,SBT.PA,702896624,10.9246,France,,,,
989,Xvivo Perfusion AB,XVIVO.ST,702200766,22.2925,Sweden,,,,
991,DATAGROUP SE,D6H.DE,698253559,84.1807,Germany,,,,
993,Waga Energy,WAGA.PA,695565907,26.0109,France,,,,
995,Hypoport,HYQ.F,691852348,103.334,Germany,,,,
997,Audax Renovables,ADX.MC,686571554,1.52991,Spain,,,,
998,Equasens,EQS.PA,685992012,45.6373,France,,,,
999,Troax Group AB,TROAX.ST,683643216,11.4235,Sweden,,,,
1000,EuroGroup Laminations,EGLA.MI,678882473,4.17356,Italy,,,,
1001,Sligro Food,SLIGR.AS,674967183,15.2755,Netherlands,,,,
1002,Caisse Régionale de Crédit Agricole du Morbihan,CMO.PA,674859811,128.848,France,,,,
1004,Bahnhof AB,3B7.F,672210825,6.11256,Sweden,,,,
1005,Jensen-Group,JEN.BR,665887476,72.3575,Belgium,,,,
1006,Mühlbauer Holding,MUB.DE,664455989,46.8196,Germany,,,,
1008,X-FAB,XFAB.PA,662580936,5.07212,Belgium,,,,
1010,Boozt,BOOZT.ST,656471812,10.869,Sweden,,,,
1012,Société de la Tour Eiffel,EIFF.PA,648815412,4.88295,France,,,,
1015,Auto Partner,APR.WA,640688963,4.90498,Poland,,,,
1016,PIERER Mobility,PKTM.VI,639329141,18.917,Austria,,,,
1018,NRJ Group,NRG.PA,633726114,8.1816,France,,,,
1019,Laurent-Perrier,LPE.PA,633219176,108.063,France,,,,
1020,Miquel y Costas &amp; Miquel,MCM.MC,629699138,16.7888,Spain,,,,
1021,Viaplay Group,VPLAY-B.ST,626880297,0.137858,Sweden,,,,
1022,Marimekko,MEKKO.HE,626462817,15.441,Finland,,,,
1023,Hexatronic Group AB,HTRO.ST,622624732,3.02778,Sweden,,,,
1024,Flat Capital AB,FLAT-B.ST,618403068,1.24217,Sweden,,,,
1025,TINC NV,TINC.BR,616808904,12.7217,Belgium,,,,
1026,IDI,IDIP.PA,615798509,86.3088,France,,,,
1029,ADS-TEC Energy,ADSE,611446208,10.17,Ireland,,,,
1030,Energiekontor,EKT.DE,610522179,43.7456,Germany,,,,
1031,Credit Agricole Mutuel Toulouse 31,CAT31.PA,608297690,134.784,France,,,,
1032,Quadient,QDT.PA,606775137,17.9002,France,,,,
1033,Revenio,REG1V.HE,606414692,22.795,Finland,,,,
1034,Boiron,BOI.PA,605565319,34.8782,France,,,,
1035,Avax S.A.,AVAX.AT,600616215,4.04942,Greece,,,,
1036,"Amper, S.A.",AMP.MC,600540925,0.209269,Spain,,,,
1039,Norma Group,NOEJ.F,598220528,18.7751,Germany,,,,
1040,EPC Groupe,EXPL.PA,595262438,279.026,France,,,,
1042,Fiera Milano,FM.MI,592348539,8.34713,Italy,,,,
1046,Villeroy &amp; Boch,VIB3.DE,589242821,22.1092,Germany,,,,
1047,Yubico,YUBICO.ST,588544381,6.80974,Sweden,,,,
1050,BHG Group AB,BHG.ST,584424815,3.26069,Sweden,,,,
1051,Lumibird,LBIRD.PA,583214654,26.4838,France,,,,
1054,ASBISc Enterprises,ASB.WA,580231512,10.4546,Cyprus,,,,
1055,SCHMID Group,SHMD,579382912,10.42,Germany,,,,
1056,Jacquet Metals,JCQ.PA,578418134,28.4937,France,,,,
1057,Stabilus,STM.DE,571797108,23.1497,Luxembourg,,,,
1059,Rosenbauer International,ROS.VI,569212592,55.8052,Austria,,,,
1060,Acast AB,ACAST.ST,568654546,3.11651,Sweden,,,,
1062,John Mattson Fastighetsföretagen,JOMA.ST,559761732,7.38531,Sweden,,,,
1064,Nederman Holding,NMAN.ST,556317314,15.8376,Sweden,,,,
1068,eQ Oyj,EQV1V.HE,543414454,13.1237,Finland,,,,
1070,Malteries Franco-Belges,MALT.PA,542427554,1093.64,France,,,,
1072,Truecaller,TRUE-B.ST,532440563,1.58376,Sweden,,,,
1075,init innovation in traffic systems,IXX.DE,527197325,53.0858,Germany,,,,
1077,Groupe Guillin,ALGIL.PA,523499164,28.3164,France,,,,
1078,Acinque,AC5.MI,522641467,2.64838,Italy,,,,
1079,Attica Holdings,ATTICA.AT,520367909,2.13999,Greece,,,,
1080,Raisio plc,RAIVV.HE,515603624,3.26318,Finland,,,,
1081,Oma Säästöpankki,OMASP.HE,514010434,15.4883,Finland,,,,
1083,Nextensa,NEXTA.BR,513790013,50.8394,Belgium,,,,
1084,Aurelius Group,AR4.DE,513292829,19.24,Germany,,,,
1086,Groupe SAMSE,SAMS.PA,508570131,150.154,France,,,,
1087,Newron Pharmaceuticals,NWRN.SW,491745260,24.6353,Italy,,,,
1088,Murapol S.A.,MUR.WA,491731593,12.0522,Poland,,,,
1090,Wirtualna Polska (WP Holding),WPL.WA,488215414,16.3967,Poland,,,,
1091,Aeroporto G. Marconi Bologna,ADB.MI,486914817,13.4784,Italy,,,,
